Address Count,Avg Gas Price,Block Difficulty,Block Size,Block Time,Unique Daily Active Eth Address Total Count,Unique Daily Active Eth Address Receive Count,Unique Daily Active Eth Address Sent Count,Gas Limit,Gas Used,Uncles,Network Hash,Verified Contracts,Network Utilization,No. of ERC20 Token Transfers,Transaction Fee,Tx Growth,Supply,MarketCap,Price,weekday,day,Next Price
90816593,15707758551.0,2180.507,24088,13.02,302391,240426,150890,9970902,54400650335.0,378,174364.8188,62,0.8366,501256,6.14e+20,768437,110152514.4,13066.29126,118.62,1,2,136.7
90919015,18322233968.0,2190.931,27413,13.1,362517,291556,169439,9975078,56477214188.0,415,174894.121,70,0.8744,595629,8.88e+20,864017,110166198.1,15059.719280000001,136.7,1,3,133.4
91083028,16360326781.0,2190.26,27084,13.23,328086,259075,170245,9972272,56053109603.0,430,174054.6792,61,0.8759,539822,7.24e+20,822158,110179807.7,14697.98635,133.4,1,4,132.72
91284843,12414614632.0,2227.486,26578,13.13,390368,336979,171758,9963856,54089637190.0,542,180106.6438,32,0.8443,580358,5.17e+20,857503,110193594.8,14624.893909999999,132.72,0,5,122.44
91409744,12942212470.0,2159.407,25601,13.52,295480,247115,158919,9936181,51420600526.0,549,171178.0093,67,0.8234,515565,5e+20,746195,110207103.7,13493.757769999998,122.44,0,6,136.74
91559218,14465400762.0,2159.855,25426,13.09,316061,262494,170939,9910355,51973418456.0,560,175188.2453,64,0.8161,528831,5.9e+20,801238,110220933.7,15071.61047,136.74,1,0,139.07
91667350,13687447647.0,2232.215,26101,13.36,309222,255819,151370,9898962,51697161721.0,541,177982.9948,63,0.825,554943,5.61e+20,791900,110234522.5,15330.315040000001,139.07,1,1,136.28
91781997,13756761814.0,2192.031,24775,13.31,284832,231168,146412,9894921,52072394107.0,550,175666.9651,74,0.8275,500271,5.48e+20,765389,110248182.6,15024.622319999999,136.28,1,2,138.97
91924888,13022719834.0,2216.967,24661,13.15,295289,243484,144821,9978390,52701817210.0,385,176100.0611,79,0.8172,486846,5.26e+20,772649,110261798.7,15323.08216,138.97,1,3,131.51
92040830,12546794673.0,2201.868,23262,12.99,296964,245450,142552,9957272,50465639748.0,370,176455.2315,86,0.7747,459891,4.92e+20,748776,110275538.3,14502.33604,131.51,1,4,131.34
92184313,11413783523.0,2218.3979999999997,22245,13.05,243402,193427,132499,9971211,50355711685.0,358,175777.2138,90,0.7798,407411,4.03e+20,667726,110289124.7,14485.373630000002,131.34,0,5,124.55
92292130,11020301161.0,2237.589,19253,12.95,225262,177228,121520,9956005,46056488567.0,360,179550.9457,54,0.7054,371600,3.52e+20,607984,110302888.2,13738.224719999998,124.55,0,6,132.31
92400429,11884805218.0,2256.53,22915,13.18,269242,206151,155494,9975558,51787919806.0,376,178537.4684,90,0.8047,441385,4.53e+20,724004,110316447.4,14595.969159999999,132.31,1,0,133.17
92524790,13067204139.0,2193.623,24057,13.13,256569,200329,155106,9977042,53179290754.0,378,173915.7244,109,0.8248,463038,5.01e+20,731749,110330033.8,14692.6506,133.17,1,1,136.05
92629285,12158641023.0,2188.531,23177,12.92,249259,198799,138163,9970535,53665881090.0,373,175437.1217,81,0.8225,482502,4.58e+20,683007,110343777.6,15012.27094,136.05,1,2,141.59
92717359,13091171982.0,2261.717,24853,13.13,264406,208537,150413,9981494,54369995334.0,369,179392.9219,87,0.8412,453414,5.22e+20,720554,110357381.4,15625.50163,141.59,1,3,141.45
92812562,12546736213.0,2225.426,24127,13.05,267880,209214,154354,9979991,54597210555.0,341,176900.7739,71,0.8398,433983,4.86e+20,722688,110371025.5,15611.98155,141.45,1,4,144.49
92934932,10643758163.0,2190.118,21335,13.13,232113,179652,134255,9978490,52187476824.0,340,173156.1962,34,0.8073,375490,3.64e+20,625952,110384589.0,15949.46926,144.49,0,5,142.88
93044764,10421896817.0,2214.275,20359,13.07,224338,171935,132248,9977921,51475533126.0,336,175373.6226,32,0.794,375144,3.52e+20,614001,110398179.7,15773.69192,142.88,0,6,171.62
93156847,14386395350.0,2145.132,26036,13.22,288424,208169,179886,9982107,56414940053.0,382,169202.2306,70,0.879,448475,6.42e+20,771300,110411703.3,18948.85653,171.62,1,0,164.66
93257618,13013528020.0,2176.478,25184,12.95,276395,216751,160814,9982401,57631451338.0,394,175025.1447,97,0.8818,455244,5.82e+20,783472,110425481.2,18182.65974,164.66,1,1,173.41
93356018,11576580760.0,2205.702,25393,13.06,342424,286279,155396,9978652,56569534356.0,358,175128.6673,110,0.8725,457764,5.11e+20,830223,110439103.3,19151.244909999998,173.41,1,2,169.92
93488872,12277136032.0,2214.325,23447,13.16,275384,216239,155812,9979426,55120769772.0,387,175967.1102,72,0.8538,455486,4.9e+20,727502,110452724.3,18768.12691,169.92,1,3,158.12
93607062,12269003782.0,2247.413,24575,13.05,269522,215977,154365,9980029,55824381169.0,395,179741.0364,54,0.8599,516158,5.2e+20,745643,110466428.7,17466.95171,158.12,1,4,158.67
93770713,11327484697.0,2197.97,22996,13.26,249382,197358,139937,9973892,52654735722.0,384,172886.6181,38,0.8244,782245,3.99e+20,680523,110479914.7,17529.84807,158.67,0,5,158.75
93893106,9800432922.0,2234.383,22760,12.96,261362,211566,139673,9980030,53937212902.0,341,179009.276,40,0.8222,729741,3.68e+20,678530,110493655.5,17540.86782,158.75,0,6,156.82
94002073,11939777888.0,2214.843,24305,13.06,286794,235137,148592,9982766,55260972737.0,395,177007.9711,64,0.8513,570940,4.96e+20,744306,110507347.0,17329.76215,156.82,1,0,158.6
94090821,12300384022.0,2271.633,24940,13.11,327012,270969,157865,9979157,55753722827.0,376,180310.89899999998,86,0.8637,577885,5.25e+20,813972,110520950.5,17528.62274,158.6,1,1,152.85
94189453,11635342378.0,2247.95,24633,13.1,300348,245738,159536,9983369,55370776054.0,403,179367.6687,59,0.8554,626190,4.93e+20,792152,110534623.7,16895.217230000002,152.85,1,2,172.58
94289500,15064682211.0,2270.285,26129,13.13,283483,228367,167470,9981320,56546505543.0,410,180755.6439,69,0.8769,605467,6.94e+20,790334,110548259.0,19078.418540000002,172.58,1,3,170.98
94401644,12248271015.0,2242.993,24920,13.22,304620,246944,165726,9980341,55792894380.0,389,177414.4765,103,0.8681,610638,5.28e+20,785639,110561811.6,18903.85855,170.98,1,4,187.81
94519053,12700922618.0,2255.732,24272,13.2,309901,253461,167055,9979353,55552799307.0,386,178317.7031,71,0.8657,427441,5.84e+20,783111,110575363.7,20767.159059999998,187.81,0,5,180.34
94624668,12031541144.0,2192.808,23224,13.08,292100,240382,156733,9977221,55529600862.0,396,174688.5976,72,0.8597,452254,5.13e+20,741675,110589018.2,19943.62355,180.34,0,6,170.6
94725924,13770276031.0,2184.859,26206,13.08,318477,257525,179637,9982833,57935356671.0,399,174358.8137,48,0.8945,533299,6.62e+20,828885,110602693.7,18868.81954,170.6,1,0,171.0
94828963,13970900436.0,2232.085,25515,13.19,308759,240885,181065,9978165,57567078878.0,409,176861.6965,106,0.8976,491969,6.97e+20,812963,110616273.0,18915.382680000002,171.0,1,1,183.04
94939511,14191692798.0,2204.263,25228,13.02,300954,229105,184046,9981322,57599039714.0,449,176800.2512,85,0.8909,501133,6.58e+20,790519,110629996.5,20249.71457,183.04,1,2,185.68
95060840,14371184956.0,2262.509,25963,13.16,325328,253968,194900,9982247,57733723479.0,430,180267.5215,67,0.8965,466434,6.93e+20,826397,110643640.9,20544.31124,185.68,1,3,187.7
95180424,13771090303.0,2228.822,25533,13.13,333566,259811,197903,9982368,57990388097.0,395,177248.1154,80,0.8974,492031,6.63e+20,846807,110657265.1,20770.36866,187.7,1,4,194.39
95309966,12538831783.0,2216.5,24986,13.25,302047,237080,183064,9979418,56253518223.0,442,175986.0193,43,0.8786,452612,5.69e+20,792299,110670863.0,21513.30905,194.39,0,5,197.78
95431332,13439926391.0,2226.632,25058,13.16,299059,233374,181947,9979876,56801948197.0,410,176996.6145,56,0.8817,435910,6.36e+20,801949,110684471.6,21891.17479,197.78,0,6,196.78
95547594,13918385493.0,2177.22,25766,13.18,321281,251804,195228,9978311,57748706598.0,426,173346.0474,109,0.8973,474806,6.52e+20,841193,110698100.5,21783.17221,196.78,1,0,196.86
95666102,13052985766.0,2178.618,26056,13.27,322149,251121,188682,9978981,57073102681.0,435,172852.1464,123,0.8915,498742,5.98e+20,838453,110711676.2,21794.700569999997,196.86,1,1,215.55
95783820,18452757606.0,2237.9970000000003,27928,13.05,345258,262573,217238,9983143,59307361589.0,409,179635.5417,67,0.9107,487504,9.78e+20,897881,110725423.7,23866.86508,215.55,1,2,206.27
95895881,23829583393.0,2276.654,28663,13.31,339669,264813,212385,9946761,59360582632.0,531,182026.9342,96,0.937,456446,1.28e+21,899459,110739062.2,22842.14635,206.27,1,3,211.98
96005050,13888475283.0,2318.62,25890,13.12,327622,256097,190106,9972690,58538945742.0,496,187072.9465,62,0.9072,429486,6.82e+20,827138,110752856.9,23477.39061,211.98,1,4,214.15
96124475,11389301751.0,2330.873,23861,13.15,313649,254439,166112,9981033,56109407200.0,406,185525.6094,45,0.8691,436420,5.19e+20,765990,110766499.5,23720.64587,214.15,0,5,210.06
96230045,12521236484.0,2279.571,24822,13.23,330025,266775,168171,9982545,56694348911.0,427,180677.0771,43,0.885,406693,6.02e+20,789689,110780065.7,23270.4606,210.06,0,6,206.94
96330145,14983023765.0,2338.904,26939,13.02,298027,235794,180134,9984434,59650089352.0,385,187491.3243,58,0.914,665359,7.43e+20,774035,110793795.3,22927.667999999998,206.94,1,0,205.48
96428749,15502345363.0,2353.754,24540,13.07,296348,234474,172946,9981076,58634760812.0,354,186883.6871,64,0.9035,476837,7.79e+20,785518,110807414.7,22768.70756,205.48,1,1,199.1
96530703,17933308369.0,2303.112,27907,13.25,315688,251782,183894,9985906,59252046986.0,400,180890.2501,86,0.9294,853413,9.43e+20,833506,110820867.2,22064.43465,199.1,1,2,212.37
96642249,20866831524.0,2243.5229999999997,31419,13.14,326720,250868,199199,9986053,60546455883.0,433,178858.6722,80,0.9397,1370266,1.17e+21,877129,110834503.5,23537.9235,212.37,1,3,211.54
96759132,20580766613.0,2274.345,27078,13.07,333175,257527,206699,9984217,60665060914.0,460,182842.5816,86,0.9373,489429,1.14e+21,887756,110848254.5,23448.83975,211.54,1,4,210.1
96878018,17823163632.0,2296.034,27758,13.26,341423,272957,197611,9984237,59620524373.0,429,181423.8739,46,0.9341,482854,9.42e+20,894382,110861779.5,23292.05988,210.1,0,5,187.84
96991081,30507432603.0,2238.801,27547,13.1,331001,256070,204907,9986532,60716575042.0,440,179648.2506,55,0.9368,444205,1.7e+21,879153,110875505.0,20826.85487,187.84,0,6,185.88
97106269,24022502727.0,2266.229,27592,13.21,332262,259685,202809,9986435,60136105570.0,442,180380.3095,76,0.9377,472008,1.3e+21,887554,110889125.9,20612.07072,185.88,1,0,189.9
97216669,27066815386.0,2267.37,26833,13.28,315933,245341,199037,9986578,59552099157.0,462,180024.9859,76,0.9334,468060,1.46e+21,880678,110902703.3,21060.42335,189.9,1,1,199.85
